0,project,baseline_type,compare_type
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkOutOfDateException>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.VersionsListConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.configuration>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.project.AppYaml to com.google.cloud.tools.appengine.configuration.DeployConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.project.ServiceNameValidator to com.google.cloud.tools.appengine.configuration.DeployConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.project.ProjectIdValidator to com.google.cloud.tools.appengine.configuration.DeployConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Update: Mcom.google.cloud.tools.project to Mcom.google.cloud.tools.appengine.configuration.DeployConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.io.FileUtil to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.io.FilePermissions to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.io.FileUtil$1 to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent$State>,aep-core-0.10.0,original,hmd
<Operation Update: Mcom.google.cloud.tools.io to Mcom.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileNotFoundException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.OsInfo to com.google.cloud.tools.managedcloudsdk.command.AsyncStreamHandlerFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.OsInfo$Name to com.google.cloud.tools.managedcloudsdk.command.CommandRunner>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.OsInfo$Architecture to com.google.cloud.tools.managedcloudsdk.install.Installer>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.UnsupportedOsException to com.google.cloud.tools.managedcloudsdk.ConsoleListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.BadCloudSdkVersionException to com.google.cloud.tools.managedcloudsdk.process.AsyncStreamHandler>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ChildProgressListener to com.google.cloud.tools.managedcloudsdk.command.AsyncStreamHandlerFactory$ConsoleListenerForwardingByteHandler>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.command.AsyncStreamHandlerFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ProgressListener to com.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ManagedCloudSdk$1 to com.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ManagedCloudSdk to com.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ManagedSdkVersionMismatchException to com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ManagedSdkVerificationException to com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileParseException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.Version to com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileNotFoundException>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileParseException>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.VersionsListConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.ConsoleListener to com.google.cloud.tools.appengine.configuration.RunConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.components.SdkComponent to com.google.cloud.tools.appengine.configuration.RunConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.components.SdkComponentInstaller to com.google.cloud.tools.appengine.configuration.RunConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.components.SdkUpdater to com.google.cloud.tools.appengine.operations.DevServers>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.managedcloudsdk.components.BundledPythonCopier to com.google.cloud.tools.appengine.operations.DevAppServerRunner>,aep-core-0.10.0,original,hmd
