Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
6;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;28;6.6393;8;101;false
6;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;38;13.2534;5;101;false
6;_b01-javacc-7.0.14 190C.odem;0;190;91;12.9851;39;244;false
6;_b01-jgit-pgm-6.8.0 121C.odem;0;121;55;11.8495;14;242;false
6;_b01-lucene-codecs-11.0.0 208C.odem;0;207;105;29.1900;41;240;false
6;_b01-jmetal-lab-6.2.2 54C.odem;0;54;28;6.1514;9;239;false
6;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;102;28.7537;36;237;false
6;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;70;17.0225;16;235;false
6;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;82;15.2923;21;234;false
6;_b01-javaGeom-0.11.3 159C.odem;0;159;78;11.6174;31;231;false
7;_b01-joda-time-2.14.0 248C.odem;0;248;128;18.3792;72;227;false
7;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;91;22.7021;25;225;false
7;_b01-joda-money-2.0.3 29C.odem;0;28;17;2.7777;9;223;false
7;_b01-moquette-broker-0.19 204C.odem;0;204;106;24.3960;41;222;false
7;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;28;13.3351;7;221;false
7;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;59;15.9509;13;220;false
7;_b01-jgit-http-6.8.0 61C.odem;0;61;35;10.6159;7;219;false
7;_b01-log4j-api-2.21.1 189C.odem;0;181;96;21.3581;31;217;false
7;_b01-jgit-lfs-6.8.0 41C.odem;0;41;24;4.6996;6;215;false
7;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;19;4.9821;9;215;false
7;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;15;5.4026;4;215;false
7;_b01-aep-core-0.10.0 162C.odem;0;162;87;28.0249;23;213;false
7;_b01-jgit-ssh-6.8.0 100C.odem;0;98;58;15.4371;10;212;false
7;_b01-log4j-jpa-2.21.1 26C.odem;0;23;12;4.4921;5;211;false
7;_b01-jmetal-auto-6.2.2 69C.odem;0;69;33;4.5775;7;211;false
7;_b01-gson-2.10.1 212C.odem;0;212;95;18.5608;49;209;false
7;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;75;18.7022;15;207;false
7;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;22;6.4777;7;206;false
7;_b01-scribejava-apis-8.3.4 175C.odem;0;175;109;68.5811;25;204;false
7;_b01-lucene-luke-11.0.0 278C.odem;0;277;154;31.2440;93;201;false
7;_b01-jmetal-component-6.2.2 132C.odem;0;132;36;11.3604;15;199;false
7;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;35;6.6393;8;198;false
7;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;39;13.2534;6;197;false
7;_b01-javacc-7.0.14 190C.odem;0;190;63;12.9855;36;195;false
7;_b01-jgit-pgm-6.8.0 121C.odem;0;121;59;11.8495;13;193;false
7;_b01-lucene-codecs-11.0.0 208C.odem;0;207;106;29.1900;42;191;false
7;_b01-jmetal-lab-6.2.2 54C.odem;0;54;28;6.1514;7;189;false
7;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;110;28.7537;36;188;false
7;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;72;17.0225;14;187;false
7;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;74;15.2923;20;185;false
7;_b01-javaGeom-0.11.3 159C.odem;0;159;74;11.6174;33;182;false
8;_b01-joda-time-2.14.0 248C.odem;0;248;119;18.3792;75;179;false
8;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;83;22.7021;23;176;false
8;_b01-joda-money-2.0.3 29C.odem;0;28;14;2.7777;8;175;false
8;_b01-moquette-broker-0.19 204C.odem;0;204;101;24.3960;41;173;false
8;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;38;13.2982;8;172;false
8;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;57;15.9509;14;171;false
8;_b01-jgit-http-6.8.0 61C.odem;0;61;36;10.6159;7;169;false
8;_b01-log4j-api-2.21.1 189C.odem;0;181;86;21.3581;32;168;false
8;_b01-jgit-lfs-6.8.0 41C.odem;0;41;23;4.6996;8;167;false
8;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;26;4.9765;9;166;false
8;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;14;5.4026;5;166;false
8;_b01-aep-core-0.10.0 162C.odem;0;162;88;28.0249;25;165;false
8;_b01-jgit-ssh-6.8.0 100C.odem;0;98;52;15.4371;10;163;false
8;_b01-log4j-jpa-2.21.1 26C.odem;0;23;13;4.4921;5;163;false
8;_b01-jmetal-auto-6.2.2 69C.odem;0;69;26;4.5775;6;162;false
8;_b01-gson-2.10.1 212C.odem;0;212;96;18.5608;56;160;false
8;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;74;18.7022;18;158;false
8;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;27;6.4777;7;157;false
8;_b01-scribejava-apis-8.3.4 175C.odem;0;175;103;68.5811;27;156;false
8;_b01-lucene-luke-11.0.0 278C.odem;0;277;145;31.2440;102;152;false
8;_b01-jmetal-component-6.2.2 132C.odem;0;132;60;11.3549;17;150;false
8;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;34;6.6393;9;149;false
8;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;38;13.2534;6;148;false
8;_b01-javacc-7.0.14 190C.odem;0;190;95;12.9851;42;146;false
8;_b01-jgit-pgm-6.8.0 121C.odem;0;121;52;11.8495;14;145;false
8;_b01-lucene-codecs-11.0.0 208C.odem;0;207;109;29.1900;46;142;false
8;_b01-jmetal-lab-6.2.2 54C.odem;0;54;26;6.1514;7;141;false
8;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;102;28.7537;38;139;false
8;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;72;17.0225;16;138;false
8;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;75;15.2923;22;136;false
8;_b01-javaGeom-0.11.3 159C.odem;0;159;67;11.6174;34;133;false
9;_b01-joda-time-2.14.0 248C.odem;0;248;113;18.3792;80;130;false
9;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;82;22.7021;26;127;false
9;_b01-joda-money-2.0.3 29C.odem;0;28;12;2.7777;8;126;false
9;_b01-moquette-broker-0.19 204C.odem;0;204;101;24.3960;43;124;false
9;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;35;13.2982;7;123;false
9;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;42;15.9901;13;122;false
9;_b01-jgit-http-6.8.0 61C.odem;0;61;34;10.6159;7;121;false
